direction	ontology	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
up	BP	GO:0050000	chromosome localization	41/2405	119/15715	0.34453781512605	2.25131466307937	5.82432080727732	1.72529002496886e-07	1.68873727020257e-05	1.55291492880783e-05	NEK2/NUF2/SPC25/CDK1/CENPF/CCNB1/KIFC1/DLGAP5/ZWINT/KIF2C/CDCA5/NDC80/CDCA8/BIRC5/SKA1/SKA3/SGO1/FAM83D/KIF14/SPAG5/KNL1/AURKB/CENPE/TTK/RACGAP1/KIF18A/ECT2/KIF22/CDT1/PSRC1/SPC24/RCC2/ZWILCH/BUB3/DSN1/KNSTRN/KNTC1/RRS1/TEX14/KASH5/MAJIN	41
up	BP	GO:0042742	defense response to bacterium	72/2405	265/15715	0.271698113207547	1.77535794139568	5.41094128677482	4.09147515063524e-07	3.93804483248642e-05	3.62131440964119e-05	ISG15/VGF/H2BC6/CAMP/H2BC12L/H2BC12/S100A14/EVPL/H2BC4/H2BC7/H2BC11/FCGR1A/H2BC21/PYCARD/GBP5/H2BC8/BCL3/HMGB2/OAS3/NOD2/OAS2/ROMO1/OAS1/GSDMD/SLC11A1/SLAMF8/CCL20/LTA/IL18/CHGA/IL12B/GSDMC/PGLYRP4/CXCL13/S100A8/S100A9/RNASE10/PRB3/LYPD8/H2BC10/PGLYRP2/LYZ/TREM1/WFDC3/NLRP6/F2/AZU1/BPIFA2/WFDC13/ZG16/UMOD/PGLYRP3/WFDC10B/DCD/WFDC2/BPIFA1/CALCA/FGB/LCN2/DEFB126/CST11/CLEC4D/LBP/WFDC10A/LACRT/HTN1/AICDA/NPY/SEMG2/DMBT1/PGC/KRT6A	72
up	BP	GO:0034502	protein localization to chromosome	42/2405	129/15715	0.325581395348837	2.12744766233138	5.46557422620011	7.10455010373582e-07	6.72602899165153e-05	6.18506562093998e-05	CDK1/PLK1/BUB1B/KNL1/AURKB/EZH2/ESCO2/MACROH2A1/TTK/PARP1/CCT3/CENPA/TONSL/H2AX/RCC2/H4C9/ZWILCH/HASPIN/LRWD1/H4C14/H4C5/LEF1/MIS18A/BUB3/H2BC11/H4C12/H4C8/H4C15/BRCA2/KNTC1/H4C4/TERT/H4C11/H2AC8/RAD21/H1-5/H4C3/H4C16/ESR1/H2AC4/H4C2/H4C1	42
up	BP	GO:0023061	signal release	113/2405	477/15715	0.236897274633124	1.5479586989021	5.16600613646746	7.22603034661784e-07	6.73069762124485e-05	6.18935876038829e-05	INHBA/GRM4/SYNGR3/CDK5/TFR2/CHRNA6/ADAM8/SLC25A22/SCT/SYT13/TMEM132A/CGA/VGF/GPR68/BMP8A/STXBP2/TOR2A/MIF/UQCC2/ADORA2A/ILDR2/PASK/VAMP8/UNC13A/RIMS4/STX1A/SYT5/SLC30A8/SLC44A4/SLC6A4/RAB3A/BRSK2/SPP1/PNKD/PLA2G10/CADPS/NKX6-1/SOX11/KISS1/GATA3/FOXD1/SYT1/IL11/PPFIA3/SCRIB/PTPRN/TRH/CPLX2/KCNK9/SYN1/TCIRG1/ILDR1/SREBF1/PRRT2/KMO/GPR158/F2RL2/UCN/GAL/INHA/CHGA/SLC4A8/OSM/GDF9/TRPM5/CARTPT/SYT7/BRSK1/RIMS2/RAB11FIP1/KCNJ11/SYT9/SYP/ABAT/BAIAP3/CSPG5/IFNG/MYB/AGT/PTPRN2/F2/BGLAP/BLK/CHRNB4/PLA2G3/WNK4/HRH3/C1QTNF12/RIMS1/CCKAR/RETN/SNPH/SSTR5/PRKCG/ABCA12/CHRNA4/PDX1/HTR2C/FFAR2/GHRH/CPLX3/WNT7A/SYT4/FGB/SNAP25/KCNK16/FGG/NEUROD1/OPRK1/UCN3/P2RY4/GHRHR/MTNR1B	113
up	BP	GO:1901988	negative regulation of cell cycle phase transition	68/2405	250/15715	0.272	1.77733056133056	5.26638580926047	8.14092165409018e-07	7.46251151624933e-05	6.86231407600417e-05	PKMYT1/NUF2/SPC25/CDK1/PLK1/DTL/INHBA/CENPF/BUB1/CCNB1/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/RAD51/CDC45/EZH2/E2F1/MACROH2A1/TTK/CLSPN/TRIP13/MAD2L1/E2F7/CDC6/TIMELESS/H2AX/CDT1/INTS7/SPC24/ORC1/BRIP1/BLM/DNA2/EME1/ZWILCH/FANCD2/HASPIN/WDR76/BUB3/CHEK1/BRCA2/BARD1/GEN1/BRSK2/TICRR/KNTC1/CDKN2D/TELO2/HORMAD1/CAMSAP3/RAD21/OVOL1/BRCA1/IER3/SOX2/CCND1/GPR132/BRSK1/TEX14/HUS1B/SUSD2	68
up	BP	GO:0031424	keratinization	26/2405	65/15715	0.4	2.61372141372141	5.54166101617641	1.24231172170477e-06	0.000112099221763204	0.000103083267039483	CASP14/EVPL/TMEM79/LIPM/CDSN/KRT75/TGM3/CNFN/KRT2/IVL/KRT3/KRT86/KRT81/TCHH/KRT73/KRT1/KRT78/ABCA12/KRT85/KRT72/KRT16/KRT83/LORICRIN/KRT6A/KRT79/SPRR1B	26
up	BP	GO:0002227	innate immune response in mucosa	13/2405	21/15715	0.619047619047619	4.04504504504505	5.93537867143187	1.48163131078892e-06	0.000131637243381631	0.000121049877942188	H2BC6/CAMP/H2BC12L/H2BC12/H2BC4/H2BC7/H2BC11/H2BC21/H2BC8/BPIFB1/NOD2/H2BC10/RNASE2	13
up	BP	GO:0007093	mitotic cell cycle checkpoint signaling	43/2405	137/15715	0.313868613138686	2.05091278813907	5.25149550000071	1.59674005805634e-06	0.00013971475507993	0.000128477728754294	NUF2/SPC25/CDK1/PLK1/DTL/CENPF/BUB1/CCNB1/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/TTK/CLSPN/TRIP13/MAD2L1/CDC6/SPC24/ORC1/BLM/EME1/ZWILCH/FANCD2/HASPIN/BUB3/CHEK1/BARD1/GEN1/BRSK2/TICRR/KNTC1/BRCA1/IER3/CCND1/BRSK1/TEX14/HUS1B	43
up	BP	GO:0010948	negative regulation of cell cycle process	74/2405	289/15715	0.256055363321799	1.67314346553101	4.90955103805885	3.23545029273005e-06	0.000278876499112179	0.000256446924223458	NEK2/PKMYT1/NUF2/SPC25/CDK1/PLK1/DTL/INHBA/CENPF/BUB1/CCNB1/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/RAD51/ESPL1/CDC45/EZH2/E2F8/E2F1/MACROH2A1/TTK/CCNF/CLSPN/TRIP13/MAD2L1/E2F7/CDC6/TIMELESS/H2AX/CDT1/INTS7/SPC24/FBXO43/ORC1/BRIP1/BLM/DNA2/EME1/ZWILCH/FANCD2/HASPIN/WDR76/BUB3/CHEK1/BRCA2/BARD1/GEN1/BRSK2/TICRR/KNTC1/CDKN2D/TELO2/HORMAD1/CAMSAP3/RAD21/OVOL1/BRCA1/IER3/SOX2/CCND1/GPR132/BRSK1/TEX14/HUS1B/DMRT1/SUSD2	74
up	BP	GO:0045787	positive regulation of cell cycle	79/2405	315/15715	0.250793650793651	1.63876183876184	4.86794615612399	3.59439030034935e-06	0.000305258882125257	0.000280707415870936	UBE2C/NUSAP1/CDK1/DTL/CDC25C/BUB1/CCNB1/RRM2/DLGAP5/AURKA/CDCA5/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/FAM83D/KIF14/KIF23/SPAG5/KNL1/AURKB/NCAPH/ESPL1/EZH2/E2F8/MACROH2A1/NCAPG/RACGAP1/CCNE2/MAD2L1/CIT/E2F7/CDC6/ECT2/RAD51AP1/STIL/FEN1/PSRC1/SMC4/PAGR1/PLK4/RCC2/CDC25A/CDC7/CCNE1/PTK6/LEF1/CALR/CHEK1/DBF4/MAPK15/ASCL1/BRCA2/NCAPG2/GEN1/PKP3/PPP1R35/SLC6A4/ANAPC11/GIPC1/RAB11FIP4/TERT/RAD21/RARA/OVOL1/FOXA1/CDC25B/EIF4EBP1/ASNS/CCND1/MAGEA4/FOXG1/STRA8/DMRT1/TBX20/SSTR5/EPGN	79
