gene_id	module
ENSG00000162722.8	grey
ENSG00000171163.15	salmon
ENSG00000067057.16	turquoise
ENSG00000067082.14	blue
ENSG00000187134.13	purple
ENSG00000151632.17	purple
ENSG00000196139.13	purple
ENSG00000173848.18	grey
ENSG00000178372.7	turquoise
ENSG00000178363.4	black
ENSG00000196372.12	turquoise
ENSG00000108021.19	salmon
ENSG00000134460.15	brown
ENSG00000170525.19	grey
ENSG00000198879.11	brown
ENSG00000123243.14	purple
ENSG00000107485.15	turquoise
ENSG00000048740.18	brown
ENSG00000134463.14	grey
ENSG00000183049.12	brown
ENSG00000151468.10	black
ENSG00000123240.16	brown
ENSG00000065328.16	turquoise
ENSG00000165626.16	turquoise
ENSG00000065809.13	grey
ENSG00000148468.16	turquoise
ENSG00000148484.17	turquoise
ENSG00000026025.15	pink
ENSG00000148488.15	turquoise
ENSG00000260314.2	brown
ENSG00000165995.18	greenyellow
ENSG00000204740.10	turquoise
ENSG00000120594.16	blue
ENSG00000078114.18	turquoise
ENSG00000136770.10	turquoise
ENSG00000168283.13	salmon
ENSG00000077327.15	turquoise
ENSG00000165309.13	turquoise
ENSG00000099256.18	turquoise
ENSG00000151025.9	turquoise
ENSG00000077420.15	brown
ENSG00000150051.13	grey
ENSG00000150054.18	turquoise
ENSG00000095739.10	grey
ENSG00000197321.14	turquoise
ENSG00000165757.8	blue
ENSG00000107968.9	brown
ENSG00000148516.21	blue
ENSG00000150093.18	blue
ENSG00000099250.17	black
ENSG00000177283.7	grey
ENSG00000148513.17	turquoise
ENSG00000165731.18	turquoise
ENSG00000198915.11	turquoise
ENSG00000107562.16	blue
ENSG00000165507.8	brown
ENSG00000107551.20	brown
ENSG00000012779.10	brown
ENSG00000165406.15	turquoise
ENSG00000263639.5	grey
ENSG00000264230.7	turquoise
ENSG00000204175.5	turquoise
ENSG00000204179.10	grey
ENSG00000265190.6	turquoise
ENSG00000128815.19	brown
ENSG00000165633.12	blue
ENSG00000185532.15	blue
ENSG00000107984.9	turquoise
ENSG00000122952.16	turquoise
ENSG00000122870.11	blue
ENSG00000165449.11	grey
ENSG00000151150.21	salmon
ENSG00000170312.15	turquoise
ENSG00000196932.11	turquoise
ENSG00000150347.14	blue
ENSG00000122877.15	black
ENSG00000108176.14	turquoise
ENSG00000165730.14	grey
ENSG00000122862.4	brown
ENSG00000099282.9	turquoise
ENSG00000099284.13	turquoise
ENSG00000180644.7	brown
ENSG00000138316.10	pink
ENSG00000107731.12	blue
ENSG00000107738.19	brown
ENSG00000122863.5	turquoise
ENSG00000107742.12	brown
ENSG00000168209.4	salmon
ENSG00000122884.12	brown
ENSG00000166317.11	grey
ENSG00000122861.15	blue
ENSG00000222047.8	blue
ENSG00000156650.12	turquoise
ENSG00000165644.10	salmon
ENSG00000165655.16	pink
ENSG00000156113.22	turquoise
ENSG00000151208.16	brown
ENSG00000108179.13	grey
ENSG00000165424.6	black
ENSG00000189129.13	purple
ENSG00000151224.12	grey
ENSG00000173267.13	turquoise
ENSG00000173269.13	black
ENSG00000148671.13	turquoise
ENSG00000198682.12	blue
ENSG00000152766.5	brown
ENSG00000107796.13	pink
ENSG00000119922.9	cyan
ENSG00000119917.13	cyan
ENSG00000185745.9	cyan
ENSG00000152782.16	turquoise
ENSG00000119938.8	turquoise
ENSG00000138160.5	turquoise
ENSG00000152804.10	black
ENSG00000095596.11	blue
ENSG00000138119.16	turquoise
ENSG00000138180.15	turquoise
ENSG00000138207.13	purple
ENSG00000138193.15	grey
ENSG00000119969.14	turquoise
ENSG00000107438.8	magenta
ENSG00000095637.21	purple
ENSG00000155629.14	brown
ENSG00000187122.16	grey
ENSG00000155254.12	pink
ENSG00000155265.10	greenyellow
ENSG00000095713.13	grey
ENSG00000138131.3	turquoise
ENSG00000107554.16	turquoise
ENSG00000099194.5	grey
ENSG00000075891.21	turquoise
ENSG00000107821.14	red
ENSG00000107807.12	turquoise
ENSG00000107833.10	turquoise
ENSG00000120049.18	purple
ENSG00000156398.12	turquoise
ENSG00000270316.1	brown
ENSG00000214435.7	brown
