gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000080823.22	MOK	476.401514907443	0.306566571550539	0.0844916650357999	0.000265024184712061	0.000386375684143043
ENSG00000176927.15	EFCAB5	14.141813860026	0.607825142343129	0.0900461483390652	0.000266100929884785	0.000387914313170193
ENSG00000163817.15	SLC6A20	39.0417928527351	0.54644343775746	0.153270470866653	0.000267348868931458	0.000389702236658698
ENSG00000118197.13	DDX59	921.179146807598	0.177667281638224	0.0488094528369697	0.000267652319006531	0.000390098579321858
ENSG00000284057.1	RP11-606E8.2	1235.8356547844	-0.188428823766494	0.0518242180376811	0.000267663740487445	0.000390098579321858
ENSG00000148450.12	MSRB2	1073.63460786809	0.269508477910122	0.0738514657359503	0.000268765849290709	0.000391673378123651
ENSG00000131089.15	ARHGEF9	1101.0985189174	-0.265458416349241	0.0736023899431498	0.000268995199479337	0.000391976152166423
ENSG00000228144.2	RP11-745O10.4	2532.64659937145	0.232220996485535	0.0637295664812282	0.000269578179218539	0.000392794140446977
ENSG00000109180.14	OCIAD1	4712.28806684361	0.177772895106209	0.0473133487673535	0.000270354014262058	0.000393892978493979
ENSG00000197253.13	TPSB2	1374.26457169337	0.713256263660706	0.166079000452214	0.000272140860103669	0.000396464516829463
ENSG00000163380.15	LMOD3	11.7862306407376	-5.22518122183298	0.169172560137169	0.000272195538835758	0.000396512362148391
ENSG00000140950.15	TLDC1	908.204482588834	0.307026181107459	0.0847905836442505	0.000272592037838698	0.000397058095866764
ENSG00000197555.9	SIPA1L1	2025.75866499754	-0.183267037496584	0.0505990738688505	0.000273371065781443	0.000398160889745684
ENSG00000183615.5	FAM167B	134.881945907474	0.315834324947653	0.0874260363749213	0.000276717214090976	0.000403002179456523
ENSG00000137440.4	FGFBP1	83.6600923350347	-0.950741385447094	0.33685291697019	0.000276955774749141	0.000403317263444935
ENSG00000106554.11	CHCHD3	3387.27074808774	-0.166744169571136	0.0459073346841833	0.000277599084648544	0.000404221666323036
ENSG00000172006.11	ZNF554	242.825203805939	-0.173001880788823	0.0476820396603714	0.000277795614241661	0.000404475404009308
ENSG00000085265.10	FCN1	127.821782298527	-0.566618976085911	0.158654024250587	0.00027912142740853	0.000406373226337723
ENSG00000133398.3	MED10	757.233938547823	0.189957481869546	0.0523498245616617	0.000279152930813597	0.000406386508274937
ENSG00000078018.19	MAP2	610.598831857488	-0.528825496973661	0.14765539018839	0.000279494660621988	0.000406851374665229
ENSG00000221944.6	TIGD1	204.679289779398	0.259658709309805	0.0715752995898884	0.000280673993182682	0.000408535340137165
ENSG00000215274.5	GAGE10	1.66010297155205	2.93436020531432	0.405492207527261	0.000281073386582592	0.000409083885345199
ENSG00000176076.7	KCNE5	12.7778770090726	-0.456685429991943	0.208588429113701	0.000282573065851334	0.000411233608217402
ENSG00000167925.15	GHDC	1298.29331177601	0.27971677882028	0.0772611117733947	0.000282748098127502	0.000411455358695238
ENSG00000171365.15	CLCN5	377.348711632085	0.299760806259698	0.0830523304467501	0.000283741357316582	0.000412867662966143
ENSG00000113048.16	MRPS27	2398.49173909204	-0.159733493514401	0.0443539072428889	0.000284162668814799	0.000413447575347686
ENSG00000102780.16	DGKH	830.445914232498	-0.277547119429861	0.0768549321098849	0.000284598859255259	0.000414049041451566
ENSG00000145022.4	TCTA	1830.78183767762	0.22781802553082	0.0625320063908925	0.000285162240662681	0.000414835440310283
ENSG00000125676.19	THOC2	2833.02868993312	0.169268243933636	0.0467318548581786	0.000285908279070033	0.000415887409385056
ENSG00000104131.12	EIF3J	2778.9200870897	0.151117014722106	0.0411084623897583	0.000287096752025493	0.000417582731758964
ENSG00000114446.4	IFT57	1169.13322962791	-0.174381892421597	0.0484134176027235	0.000287858249447368	0.000418656795631983
ENSG00000095539.15	SEMA4G	347.235720149858	0.295281930869659	0.0815175412417874	0.000290492075411777	0.000422453556409343
ENSG00000170801.9	HTRA3	3640.57974056248	0.458766819323072	0.128118885749962	0.000293476017872413	0.000426758831787241
ENSG00000179564.3	LSMEM2	336.10650888641	0.274290780447277	0.0760640323200057	0.00029455262278387	0.000428290080437981
ENSG00000120438.11	TCP1	6586.56102656049	0.222322938340118	0.0600320758179358	0.000294580638278302	0.000428296519325599
ENSG00000268350.7	FAM156A	309.980258000582	-0.250703757336228	0.0695118554442065	0.000296430419463075	0.00043095144568539
ENSG00000231389.7	HLA-DPA1	11317.8142883165	0.359119170595786	0.0992929677028111	0.000297595137508668	0.000432610079808053
ENSG00000121207.11	LRAT	95.2805479315589	-0.641350595346425	0.181095390158839	0.000299321780436685	0.000435085245690788
ENSG00000120093.11	HOXB3	1131.37459510625	0.530909223557851	0.149986920342539	0.000300827301091102	0.000437238624286579
ENSG00000104964.14	AES	12219.8092103848	0.22582486273099	0.0617980930018997	0.000301042423349551	0.000437516273665852
ENSG00000100596.6	SPTLC2	5333.78332438235	0.263196346556187	0.0724378543443974	0.000301642763879703	0.000438353685996611
ENSG00000007341.18	ST7L	628.52218513134	-0.162278813025226	0.0450250069400386	0.000302769733674666	0.000439956211912979
ENSG00000150636.17	CCDC102B	144.891423903846	-0.26276456252805	0.0730742206613898	0.000303553409134797	0.000441059678568428
ENSG00000080007.7	DDX43	27.0556577620934	-0.663407116193734	0.187730097118227	0.000303799412527233	0.000441381799701511
ENSG00000186812.12	ZNF397	1297.35934860805	-0.204431156276199	0.056849398092845	0.000304353280785126	0.000442151121889456
ENSG00000068831.18	RASGRP2	177.056755387156	-0.477692431756282	0.133825453089536	0.000304565904987885	0.000442424616221602
ENSG00000163221.8	S100A12	5.9333194008638	-0.862346921427812	0.247816814468371	0.000304742266551736	0.000442645394452158
ENSG00000243989.8	ACY1	1387.19786756171	0.261473348401341	0.0714757066758903	0.000305947674317446	0.000444360731903391
ENSG00000183726.10	TMEM50A	4856.71529311275	0.142093839865115	0.0387399350857277	0.000306143710531371	0.000444609893291901
ENSG00000166450.12	PRTG	147.661493400412	-0.478611994174673	0.134369528837381	0.000306273092924545	0.000444762221794936
ENSG00000149483.11	TMEM138	977.221281729781	0.166833929435703	0.0462124014038487	0.000307725017148752	0.000446834934936989
ENSG00000183715.13	OPCML	29.4703441052423	0.581068583637005	0.165431807289792	0.000308295652841536	0.000447627735830531
ENSG00000204256.12	BRD2	9751.38218785049	0.14333327418632	0.0397325348517257	0.000309006199850564	0.000448617132823348
ENSG00000170381.12	SEMA3E	447.055431936684	-0.611366824770886	0.172743175016915	0.000309026495063026	0.000448617132823348
ENSG00000122482.20	ZNF644	1854.01338064872	-0.212249133384504	0.059074321925713	0.000309073957219522	0.000448650165096498
ENSG00000104267.9	CA2	1988.36380308085	1.10920671412075	0.189976757593203	0.000309499534202303	0.000449232017749434
ENSG00000196821.9	C6orf106	5387.0950331936	-0.160300574837049	0.0455545387259853	0.000309889528050023	0.000449762133349238
ENSG00000197714.8	ZNF460	82.6273550523502	-0.0199060009430356	0.0827494195889447	0.000310352648750546	0.000450398289323242
ENSG00000197976.11	AKAP17A	1386.08918950248	0.198818625053733	0.0551660151386688	0.00031057627456213	0.000450686805202521
ENSG00000061273.17	HDAC7	3164.07518361264	-0.180876270796475	0.0512577469092075	0.000311067690344251	0.00045136384219841
ENSG00000102445.18	RUBCNL	213.684801709489	-0.379603054251871	0.106402205412643	0.000311101717989756	0.000451377147044186
ENSG00000197619.13	ZNF615	479.409017857913	-0.250911973336865	0.069872484455726	0.00031133619576899	0.000451681259409822
